currencyCode,price,timestampSec,isExternallyProvided
GBYTE,0.00899997,1534432967000,true
NXT,1.059E-5,1534433249841,true
INR,447813.59,1534433223418,true
KRW,7199228.35,1534433223418,true
JPY,708830.43,1534433167093,true
AOA,1730788.08,1534433223418,true
PLN,24261.45,1534433167093,true
SBD,50498.36,1534433223418,true
PART,6.0744E-4,1534432971000,true
MWK,4654529.31,1534433223418,true
MGA,2.121938471E7,1534433223418,true
BAM,11010.72,1534433223418,true
EGP,114571.88,1534433223418,true
SSP,833818.76,1534433223418,true
NIO,204992.7,1534433223418,true
NZD,9693.75,1534433167093,true
XMR,0.0143003,1534433249841,true
BRL,25631.68,1534433167093,true
